language,sentence_id,sentence,word_id,word,FFDAvg,FFDStd,TRTAvg,TRTStd,NER
en,ZuCo1-1,1,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",With,7.413838007,8.249414012,2.919450822,3.091223699,O
en,ZuCo1-1,2,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",his,6.781838701,11.95937147,3.237880817,9.234371644,O
en,ZuCo1-1,3,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",interest,6.980857713,9.479989582,2.166715025,4.911089552,O
en,ZuCo1-1,4,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",in,6.980857713,9.479989582,2.166715025,4.911089552,O
en,ZuCo1-1,5,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",race,7.403709813,8.163324363,6.004216874,5.68595043,O
en,ZuCo1-1,6,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",cars,6.684608039,11.14285489,1.890887979,6.942236565,O
en,ZuCo1-1,7,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",",",6.684608039,11.14285489,1.890887979,6.942236565,O
en,ZuCo1-1,8,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",he,5.590763087,16.38336661,1.676759147,10.15227857,O
en,ZuCo1-1,9,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",formed,7.997221981,9.236912926,3.057466754,5.288120096,O
en,ZuCo1-1,10,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",a,5.975634459,6.907428307,2.107735331,3.194140795,O
en,ZuCo1-1,11,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",second,8.507682959,8.507682959,0.0,0.0,S-MISC
en,ZuCo1-1,12,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",company,6.198454727,9.510374164,2.807684445,2.610992625,O
en,ZuCo1-1,13,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",",",6.198454727,9.510374164,2.807684445,2.610992625,O
en,ZuCo1-1,14,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",the,7.03706919,7.03706919,2.560394622,2.560394622,B-ORG
en,ZuCo1-1,15,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",Henry,6.708915704,11.44283358,2.457993955,5.677143203,I-ORG
en,ZuCo1-1,16,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",Ford,7.687299245,24.25297335,2.688572927,15.53722928,I-ORG
en,ZuCo1-1,17,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",Company,6.113377897,7.389530341,3.159295267,3.62777149,E-ORG
en,ZuCo1-1,18,"With his interest in race cars, he formed a second company, the Henry Ford Company. ",.,6.113377897,7.389530341,3.159295267,3.62777149,O
en,ZuCo1-2,1,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",During,6.342090933,12.61788823,3.486293913,6.80236204,O
en,ZuCo1-2,2,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",this,6.021671704,21.18081589,1.885304829,17.01389792,O
en,ZuCo1-2,3,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",period,7.496705049,15.39669637,3.410690399,7.496376912,O
en,ZuCo1-2,4,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",",",7.496705049,15.39669637,3.410690399,7.496376912,O
en,ZuCo1-2,5,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",he,6.736695894,8.325375467,1.82017885,4.172324238,O
en,ZuCo1-2,6,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",personally,6.353139872,18.24732261,1.597515714,11.69357547,O
en,ZuCo1-2,7,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",drove,5.847344002,8.473922312,2.136832919,5.020550975,O
en,ZuCo1-2,8,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",his,4.938875692,6.552020772,2.028651079,3.806383508,O
en,ZuCo1-2,9,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",Quadricycle,7.427342265,13.91613855,2.244303581,10.32315894,S-MISC
en,ZuCo1-2,10,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",to,0.0,0.0,0.0,0.0,O
en,ZuCo1-2,11,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",victory,5.820335484,7.636658275,1.455220944,2.339810108,O
en,ZuCo1-2,12,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",in,6.806146367,12.35639668,3.646149839,10.28154873,O
en,ZuCo1-2,13,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",a,6.54787742,6.54787742,3.339310258,3.339310258,O
en,ZuCo1-2,14,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",race,6.917556501,13.04511387,2.17632242,10.85104284,O
en,ZuCo1-2,15,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",against,4.970917614,11.16937234,0.655067911,7.926521594,O
en,ZuCo1-2,16,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",Alexander,5.05059274,6.326745184,1.522702476,4.892431423,B-PER
en,ZuCo1-2,17,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",Winton,6.441531383,10.00665567,3.054821811,5.226265872,E-PER
en,ZuCo1-2,18,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",",",6.441531383,10.00665567,3.054821811,5.226265872,O
en,ZuCo1-2,19,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",a,6.54787742,6.54787742,3.339310258,3.339310258,O
en,ZuCo1-2,20,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",well,5.978166508,12.19181353,2.068687387,7.071335968,O
en,ZuCo1-2,21,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",-,5.978166508,12.19181353,2.068687387,7.071335968,O
en,ZuCo1-2,22,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",known,5.978166508,12.19181353,2.068687387,7.071335968,O
en,ZuCo1-2,23,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",driver,5.727493706,14.94921434,2.382365668,8.11019838,S-MISC
en,ZuCo1-2,24,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",and,7.334838094,21.05043841,1.7484091,11.442984,O
en,ZuCo1-2,25,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",the,5.35443856,10.81691119,1.678440691,5.236912944,O
en,ZuCo1-2,26,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",heavy,6.303419647,19.58424421,1.758968865,11.14606831,O
en,ZuCo1-2,27,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",favorite,6.414522866,7.069479411,2.328559688,3.798315818,O
en,ZuCo1-2,28,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",on,9.562856624,24.11430917,2.703957768,8.343224162,O
en,ZuCo1-2,29,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",October,7.049223023,7.049223023,2.940248036,2.940248036,B-DATE
en,ZuCo1-2,30,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",10,5.330323813,5.330323813,1.507317951,1.507317951,I-DATE
en,ZuCo1-2,31,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",",",5.330323813,5.330323813,1.507317951,1.507317951,I-DATE
en,ZuCo1-2,32,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",1901,6.964146193,9.242989843,2.943971751,6.753884995,E-DATE
en,ZuCo1-2,33,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901. ",.,6.964146193,9.242989843,2.943971751,6.753884995,O
en,ZuCo1-5,1,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year. ",These,9.46783575,23.68782012,5.139680753,13.64402091,O
en,ZuCo1-5,2,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year. ",experiments,6.927684695,6.927684695,3.233924572,3.233924572,O
